CODE1,CODE2,CODE3,n_code,n_patient
C619,8140,3,6039,6039
C509,8500,3,3818,3730
C449,8090,3,2903,2871
C443,8090,3,2808,2774
C445,8090,3,1261,1253
C209,8140,3,942,942
C509,8520,3,934,925
C504,8500,3,789,787
C739,8260,3,783,783
C679,8120,3,660,660
C539,6666,0,596,596
C509,8500,2,498,496
C541,8380,3,494,494
C187,8140,3,469,469
C445,8720,3,467,467
C539,8077,2,459,459
C444,8090,3,454,452
C649,8312,3,401,398
C441,8090,3,396,395
C700,9530,0,386,386
C549,8380,3,380,380
C649,8310,3,380,379
C449,8097,3,355,355
C539,8070,2,316,316
C443,8070,3,310,310
C446,8090,3,310,310
C421,9732,3,304,304
C442,8090,3,298,297
C449,8720,3,296,296
C449,8070,3,268,268
C447,8720,3,260,260
C421,9823,3,256,256
C182,8140,3,255,255
C502,8500,3,248,248
C189,8140,3,241,241
C446,8720,3,228,227
C349,8140,3,217,217
C180,8140,3,204,204
C504,8520,3,203,203
C341,8140,3,202,202
C447,8090,3,191,191
C349,8000,3,190,190
C349,8070,3,170,170
C505,8500,3,168,168
C259,8140,3,166,166
C679,8130,2,153,153
C220,8170,3,149,149
C501,8500,3,139,139
C343,8140,3,134,134
C569,8441,3,132,132
C440,8090,3,131,128
C259,8000,3,127,127
C199,8140,3,113,113
C442,8070,3,113,113
C184,8140,3,108,108
C503,8500,3,108,108
C341,8070,3,106,106
C569,8442,1,105,105
C421,9950,3,104,104
C421,9861,3,100,100
C445,8070,3,100,100
C679,8130,3,100,100
C349,8041,3,99,99
C649,8260,3,98,98
C779,9680,3,97,97
C509,8522,3,96,96
C629,9061,3,96,96
C169,8140,3,95,95
C569,8461,3,94,94
C509,8010,3,89,89
C809,8000,3,84,84
C724,9560,0,82,82
C343,8070,3,81,81
C169,8145,3,79,79
C443,8720,3,79,79
C509,8480,3,79,79
C1,8070,3,77,77
C421,9962,3,77,77
C329,8070,3,76,76
C446,8070,3,75,75
C569,8472,1,75,75
C99,8070,3,75,75
C444,8070,3,74,74
C539,8070,3,74,74
C739,8330,3,72,72
C182,8240,3,71,71
C421,9835,3,70,70
C449,8091,3,70,70
C569,8380,3,68,68
C809,8140,3,67,67
C160,8140,3,66,66
C159,8070,3,62,62
C421,9863,3,61,61
C447,8070,3,60,60
C679,8130,1,60,60
C159,8140,3,59,59
C421,9961,3,59,59
C709,9530,0,59,59
C719,9380,3,59,59
C29,8070,3,58,58
C770,9591,3,57,57
C21,8070,3,56,56
C320,8070,3,56,56
C341,8000,3,56,56
C531,8077,2,56,56
C186,8140,3,55,55
C250,8000,3,54,54
C250,8140,3,54,54
C778,9680,3,54,54
C179,8240,3,52,52
C508,8500,3,52,52
C509,8140,3,51,50
C779,9591,3,50,50
C183,8140,3,49,49
C221,8160,3,48,48
C509,8520,2,47,47
C539,8140,2,47,47
C779,9691,3,47,47
C539,8140,3,46,46
C679,8120,2,44,44
C19,8070,3,43,43
C444,8720,3,43,43
C209,8480,3,42,42
C519,8070,3,42,42
C169,8936,1,41,41
C502,8520,3,41,41
C504,8522,3,41,41
C659,8120,3,41,41
C739,8340,3,41,41
C181,8240,3,40,40
C220,8000,3,40,40
C509,8510,3,40,40
C569,8470,3,40,40
C779,9663,3,40,40
C421,9989,3,39,39
C649,8000,3,39,39
C770,9650,3,39,39
C569,8460,3,38,38
C619,8148,2,38,38
C349,8010,3,37,37
C501,8520,3,37,37
C343,8000,3,36,36
C449,8720,2,36,36
C504,8500,2,36,36
C700,9531,0,36,36
C809,9680,3,36,36
C209,8240,3,35,35
C570,8461,3,35,35
C155,8140,3,34,34
C181,8480,3,34,34
C341,8041,3,34,34
C445,8743,3,34,34
C699,8720,3,34,34
C384,9050,3,33,33
C421,9960,3,33,33
C541,8380,2,33,33
C569,8620,1,33,33
C693,8720,3,33,33
C700,9537,0,33,33
C809,8070,3,33,33
C421,9673,3,32,31
C649,8317,3,32,32
C169,8240,3,31,31
C384,9052,3,31,31
C421,9940,3,31,31
C505,8520,3,31,31
C509,8211,3,31,31
C701,9530,0,31,31
C169,8480,3,30,30
C509,8523,3,30,30
C679,8120,1,30,30
C720,9560,0,30,30
C772,9591,3,30,30
C349,8240,3,29,29
C49,8070,3,29,29
C619,8000,3,29,29
C180,8480,3,28,28
C185,8140,3,28,28
C519,8077,2,28,28
C541,8441,3,28,28
C172,8240,3,27,27
C69,8070,3,27,27
C700,9539,1,27,27
C719,9680,3,27,27
C774,9591,3,27,27
C779,9690,3,27,27
C169,8144,3,26,26
C343,8041,3,26,26
C569,8310,3,26,26
C770,9680,3,26,26
C259,8240,3,25,25
C442,8720,3,25,25
C778,9663,3,25,25
C779,9695,3,25,25
C712,9440,3,24,24
C779,9670,3,24,24
C809,8246,3,24,24
C321,8070,3,23,23
C509,8503,2,23,23
C539,8076,3,23,23
C700,9532,0,23,23
C711,9440,3,23,23
C719,9440,3,23,23
C210,8070,3,22,22
C259,8500,3,22,22
C440,8070,3,22,22
C629,9085,3,22,22
C716,9161,1,22,22
C179,8249,3,21,21
C239,8140,3,21,21
C449,8743,3,21,21
C509,8000,3,21,21
C509,8524,3,21,21
C619,8140,2,21,21
C739,8341,3,21,21
C342,8140,3,20,20
C420,9761,3,20,20
C504,8211,3,20,20
C629,9070,3,20,20
C771,9591,3,20,20
C163,8140,3,19,19
C250,8500,3,19,19
C402,9180,3,19,19
C492,8850,3,19,19
C541,8140,3,19,19
C549,8890,3,19,19
C60,8070,3,19,19
C609,8070,3,19,19
C669,8120,3,19,19
C725,9560,0,19,19
C729,9560,0,19,19
C809,8010,3,19,19
C99,9591,3,19,19
C139,8070,3,18,18
C172,8249,3,18,18
C182,8480,3,18,18
C240,8140,3,18,18
C241,8140,3,18,18
C252,8140,3,18,18
C509,8507,3,18,18
C529,8077,2,18,18
C539,8010,2,18,18
C770,9663,3,18,18
C779,9673,3,18,18
C160,8144,3,17,17
C160,8145,3,17,17
C169,9680,3,17,17
C449,8094,3,17,17
C503,8520,3,17,17
C504,8523,3,17,17
C569,8480,3,17,17
C700,8000,0,17,17
C752,9350,1,17,17
C154,8070,3,16,16
C187,8480,3,16,16
C189,8480,3,16,16
C249,8160,3,16,16
C340,8041,3,16,16
C649,8960,3,16,16
C713,9440,3,16,16
C719,8000,3,16,16
C155,8070,3,15,15
C169,9699,3,15,15
C269,8140,3,15,15
C31,8070,3,15,15
C421,9983,3,15,15
C443,8094,3,15,15
C445,9700,3,15,15
C449,9700,3,15,15
C739,8510,3,15,15
C90,8070,3,15,15
C119,8070,3,14,14
C162,8145,3,14,14
C181,8140,3,14,14
C259,8249,3,14,14
C343,8240,3,14,14
C349,8250,3,14,14
C422,9689,3,14,14
C443,8742,3,14,14
C502,8500,2,14,14
C505,8500,2,14,14
C529,8070,3,14,14
C542,8890,3,14,14
C621,9061,3,14,14
C672,8120,3,14,14
C770,9670,3,14,14
C773,9591,3,14,14
C779,9659,3,14,14
C779,9698,3,14,14
C162,8144,3,13,13
C162,8240,3,13,13
C209,8000,3,13,13
C240,8160,3,13,13
C249,8000,3,13,13
C340,8070,3,13,13
C421,9680,3,13,13
C421,9691,3,13,13
C421,9741,3,13,13
C445,8742,3,13,13
C501,8522,3,13,13
C504,8480,3,13,13
C504,8524,3,13,13
C569,8620,3,13,13
C579,8461,3,13,13
C619,8010,3,13,13
C750,8010,3,13,13
C770,9690,3,13,13
C779,9652,3,13,13
C779,9823,3,13,13
C809,8480,3,13,13
C99,9680,3,13,13
C169,8000,3,12,12
C169,9591,3,12,12
C170,8140,3,12,12
C179,8246,3,12,12
C184,8480,3,12,12
C209,8070,3,12,12
C211,8070,3,12,12
C379,8580,3,12,12
C421,9801,3,12,12
C421,9945,3,12,12
C447,8743,3,12,12
C448,8090,3,12,12
C449,8742,2,12,12
C492,8800,3,12,12
C508,8520,3,12,12
C509,8503,3,12,12
C629,9081,3,12,12
C711,9400,3,12,12
C719,9400,3,12,12
C778,9673,3,12,12
C778,9691,3,12,12
C179,8936,1,11,11
C240,8000,3,11,11
C251,8000,3,11,11
C269,8000,3,11,11
C30,8070,3,11,11
C300,8070,3,11,11
C445,8832,3,11,11
C482,8461,3,11,11
C502,8522,3,11,11
C509,8401,3,11,11
C541,8931,3,11,11
C570,8441,3,11,11
C629,9680,3,11,11
C679,8000,3,11,11
C711,9450,3,11,11
C720,9391,3,11,11
C779,9650,3,11,11
C163,8144,3,10,10
C181,8244,3,10,10
C209,8148,2,10,10
C221,8000,3,10,10
C259,8010,3,10,10
C343,8480,3,10,10
C421,9690,3,10,10
C421,9731,3,10,10
C441,8070,3,10,10
C445,8721,3,10,10
C446,8743,3,10,10
C447,8832,3,10,10
C447,9140,3,10,10
C503,8500,2,10,10
C519,8070,2,10,10
C569,8010,3,10,10
C569,8440,3,10,10
C569,9060,3,10,10
C649,8010,3,10,10
C672,8130,2,10,10
C692,9510,3,10,10
C719,9421,1,10,10
C740,8370,3,10,10
C771,9650,3,10,10
C774,9680,3,10,10
C778,9690,3,10,10
C779,9702,3,10,10
C79,8430,3,10,10
C9,8070,3,10,10
C162,8140,3,9,9
C169,8936,3,9,9
C179,9591,3,9,9
C180,8240,3,9,9
C181,8243,3,9,9
C220,9680,3,9,9
C251,8140,3,9,9
C252,8000,3,9,9
C269,8000,1,9,9
C300,8720,3,9,9
C342,8070,3,9,9
C343,8010,3,9,9
C402,9220,3,9,9
C413,9220,3,9,9
C421,9591,3,9,9
C421,9670,3,9,9
C421,9860,3,9,9
C443,8742,2,9,9
C446,8720,2,9,9
C491,8850,3,9,9
C492,8830,3,9,9
C492,8890,3,9,9
C504,8510,3,9,9
C509,8246,3,9,9
C509,9020,3,9,9
C51,8070,3,9,9
C530,8140,3,9,9
C531,8070,3,9,9
C541,8310,3,9,9
C601,8070,3,9,9
C689,8120,3,9,9
C709,9537,0,9,9
C711,9382,3,9,9
C739,8290,3,9,9
C770,9659,3,9,9
C774,9695,3,9,9
C778,9695,3,9,9
C809,8240,3,9,9
C169,8010,3,8,8
C172,8246,3,8,8
C187,8210,3,8,8
C188,8140,3,8,8
C209,8140,2,8,8
C340,8140,3,8,8
C341,8240,3,8,8
C349,8246,3,8,8
C349,9680,3,8,8
C349,9699,3,8,8
C447,8721,3,8,8
C448,8720,3,8,8
C449,8071,3,8,8
C449,8742,3,8,8
C502,8480,3,8,8
C505,8523,3,8,8
C509,8501,2,8,8
C530,8070,3,8,8
C574,8461,3,8,8
C719,9450,3,8,8
C739,8000,3,8,8
C739,8345,3,8,8
C770,9691,3,8,8
C778,9591,3,8,8
C778,9650,3,8,8
C778,9698,3,8,8
C779,9699,3,8,8
C79,8070,3,8,8
C79,8550,3,8,8
C809,8249,3,8,8
C809,9591,3,8,8
C181,8480,1,7,7
C186,8480,3,7,7
C239,8000,3,7,7
C259,8151,3,7,7
C320,8070,2,7,7
C341,8246,3,7,7
C342,8041,3,7,7
C384,9051,3,7,7
C447,8720,2,7,7
C449,8092,3,7,7
C480,8890,3,7,7
C496,8850,3,7,7
C505,8522,3,7,7
C541,8980,3,7,7
C569,8000,3,7,7
C569,8140,3,7,7
C629,9080,3,7,7
C659,8130,2,7,7
C688,8120,3,7,7
C716,9421,1,7,7
C719,9382,3,7,7
C719,9505,1,7,7
C724,8000,0,7,7
C739,8010,3,7,7
C739,9591,3,7,7
C770,9652,3,7,7
C771,9663,3,7,7
C772,9680,3,7,7
C778,9652,3,7,7
C778,9670,3,7,7
C779,9705,3,7,7
C79,9591,3,7,7
C809,8041,3,7,7
C153,8070,3,6,6
C160,8480,3,6,6
C163,8145,3,6,6
C170,8936,1,6,6
C179,8140,3,6,6
C179,8936,3,6,6
C180,8249,3,6,6
C187,8000,3,6,6
C22,8070,3,6,6
C252,8249,3,6,6
C259,8246,3,6,6
C343,8250,3,6,6
C348,8140,3,6,6
C349,8020,3,6,6
C413,9731,3,6,6
C421,9891,3,6,6
C445,8720,2,6,6
C446,8832,3,6,6
C447,8247,3,6,6
C449,8832,3,6,6
C491,8810,3,6,6
C501,8480,3,6,6
C501,8500,2,6,6
C502,8524,3,6,6
C503,8522,3,6,6
C504,8401,3,6,6
C509,8530,3,6,6
C509,8543,3,6,6
C509,9120,3,6,6
C511,8070,3,6,6
C531,8140,2,6,6
C549,8980,3,6,6
C569,8462,1,6,6
C674,8120,3,6,6
C675,8120,3,6,6
C676,8120,3,6,6
C679,8140,3,6,6
C699,9591,3,6,6
C716,9470,3,6,6
C762,8140,3,6,6
C772,9690,3,6,6
C772,9695,3,6,6
C773,9659,3,6,6
C773,9680,3,6,6
C774,9690,3,6,6
C779,9651,3,6,6
C79,8500,3,6,6
C79,9699,3,6,6
C809,9670,3,6,6
C809,9673,3,6,6