CodeId,ShortName,TOIMENPIDE,freq_tays,freq_tays_per
S2600,NA,S2600,181056,3.950319%
H0434,NA,H0434,55791,1.217260%
H0519,NA,H0519,52053,1.135704%
RS221,NA,RS221,22833,0.498175%
H0275,NA,H0275,21465,0.468328%
H0142,NA,H0142,20850,0.454910%
H0113,NA,H0113,20668,0.450939%
H0188,NA,H0188,19077,0.416226%
H0130,NA,H0130,16341,0.356531%
H0476,NA,H0476,16253,0.354611%
H0049,NA,H0049,15839,0.345579%
H0157,NA,H0157,14511,0.316604%
H0030,NA,H0030,11747,0.256299%
H0316,NA,H0316,10308,0.224902%
F763,NA,F763,10274,0.224160%
H0054,NA,H0054,10246,0.223549%
H0414,NA,H0414,10192,0.222371%
H0112,NA,H0112,9657,0.210699%
H0473,NA,H0473,9615,0.209782%
H0702,NA,H0702,8427,0.183862%
H0003,NA,H0003,8298,0.181048%
H0266,NA,H0266,8170,0.178255%
6007,NA,6007,8091,0.176531%
H0468,NA,H0468,7749,0.169069%
1246,NA,1246,6274,0.136887%
RS220,NA,RS220,6193,0.135120%
H0900,NA,H0900,5849,0.127615%
RS222,NA,RS222,5647,0.123207%
XX9DW,NA,XX9DW,5626,0.122749%
F000,NA,F000,5196,0.113367%
RS121,NA,RS121,5126,0.111840%
F309,NA,F309,5077,0.110771%
H0139,NA,H0139,4949,0.107978%
H0569,NA,H0569,4849,0.105797%
H0110,NA,H0110,4720,0.102982%
F310,NA,F310,4486,0.097877%
H0943,NA,H0943,4291,0.093622%
H0577,NA,H0577,4223,0.092138%
F220,NA,F220,4012,0.087535%
RS120,NA,RS120,3997,0.087207%
H0451,NA,H0451,3934,0.085833%
H0901,NA,H0901,3849,0.083978%
H0631,NA,H0631,3803,0.082975%
H0941,NA,H0941,3645,0.079527%
H0320,NA,H0320,3609,0.078742%
RS230,NA,RS230,3602,0.078589%
K123,NA,K123,3521,0.076822%
K250,NA,K250,3496,0.076276%
XX9EW,NA,XX9EW,3357,0.073244%
F100,NA,F100,3303,0.072066%
H0077,NA,H0077,3220,0.070255%
K2,NA,K2,3217,0.070189%
K220,NA,K220,3181,0.069404%
H0146,NA,H0146,3108,0.067811%
1302,NA,1302,3074,0.067069%
H0144,NA,H0144,3034,0.066196%
H0951,NA,H0951,2946,0.064276%
H0069,NA,H0069,2905,0.063382%
H0499,NA,H0499,2887,0.062989%
H0059,NA,H0059,2803,0.061156%
RP125,NA,RP125,2775,0.060546%
H0114,NA,H0114,2763,0.060284%
H0904,NA,H0904,2604,0.056815%
S2900,NA,S2900,2588,0.056466%
H0102,NA,H0102,2550,0.055636%
K412,NA,K412,2529,0.055178%
H0009,NA,H0009,2407,0.052516%
H1201,NA,H1201,2398,0.052320%
H0567,NA,H0567,2383,0.051993%
F933,NA,F933,2374,0.051796%
K320,NA,K320,2343,0.051120%
H0293,NA,H0293,2190,0.047782%
H0284,NA,H0284,2187,0.047716%
RS311,NA,RS311,2178,0.047520%
H0060,NA,H0060,2137,0.046626%
H0121,NA,H0121,2130,0.046473%
H0141,NA,H0141,2126,0.046386%
K230,NA,K230,2064,0.045033%
H0002,NA,H0002,2063,0.045011%
H0129,NA,H0129,2014,0.043942%
H0454,NA,H0454,1985,0.043309%
H0565,NA,H0565,1976,0.043113%
1279,NA,1279,1963,0.042829%
H0479,NA,H0479,1916,0.041804%
F340,NA,F340,1893,0.041302%
H0220,NA,H0220,1877,0.040953%
H0356,NA,H0356,1832,0.039971%
2682,NA,2682,1780,0.038836%
H0014,NA,H0014,1693,0.036938%
H0150,NA,H0150,1680,0.036655%
K110,NA,K110,1645,0.035891%
H0303,NA,H0303,1637,0.035716%
H0117,NA,H0117,1621,0.035367%
H0491,NA,H0491,1619,0.035324%
H0572,NA,H0572,1594,0.034778%
F300,NA,F300,1592,0.034735%
H0561,NA,H0561,1582,0.034516%
2068,NA,2068,1538,0.033556%
H0265,NA,H0265,1520,0.033164%
H0004,NA,H0004,1517,0.033098%
H0945,NA,H0945,1514,0.033033%
F904,NA,F904,1449,0.031615%
H0120,NA,H0120,1448,0.031593%
H0115,NA,H0115,1445,0.031527%
6280,NA,6280,1442,0.031462%
H0445,NA,H0445,1430,0.031200%
F921,NA,F921,1405,0.030655%
RS130,NA,RS130,1399,0.030524%
H0633,NA,H0633,1398,0.030502%
F961,NA,F961,1395,0.030436%
K224,NA,K224,1374,0.029978%
F236,NA,F236,1373,0.029956%
A121,NA,A121,1367,0.029826%
RS313,NA,RS313,1360,0.029673%
RS122,NA,RS122,1359,0.029651%
RP123,NA,RP123,1336,0.029149%
H0944,NA,H0944,1296,0.028276%
S2700,NA,S2700,1285,0.028036%
H0261,NA,H0261,1221,0.026640%
H0001,NA,H0001,1203,0.026247%
XX9GW,NA,XX9GW,1161,0.025331%
N1302,NA,N1302,1147,0.025025%
H0721,NA,H0721,1143,0.024938%
RS211,NA,RS211,1142,0.024916%
H0634,NA,H0634,1135,0.024764%
K1,NA,K1,1117,0.024371%
RP215,NA,RP215,1116,0.024349%
RS224,NA,RS224,1112,0.024262%
RS390,NA,RS390,1097,0.023935%
H0722,NA,H0722,1095,0.023891%
F972,NA,F972,1083,0.023629%
H0650,NA,H0650,1070,0.023345%
H5009,NA,H5009,1034,0.022560%
H0043,NA,H0043,1032,0.022516%
H0625,NA,H0625,1030,0.022473%
H0260,NA,H0260,1011,0.022058%
RP210,NA,RP210,998,0.021775%
RP231,NA,RP231,984,0.021469%
RS314,NA,RS314,982,0.021425%
RP122,NA,RP122,941,0.020531%
H0263,NA,H0263,931,0.020313%
H0313,NA,H0313,927,0.020225%
6280P,NA,6280P,919,0.020051%
H0152,NA,H0152,913,0.019920%
H0730,NA,H0730,897,0.019571%
H0204,NA,H0204,878,0.019156%
A220,NA,A220,868,0.018938%
K121,NA,K121,860,0.018764%
H0432,NA,H0432,859,0.018742%
H0194,NA,H0194,857,0.018698%
A210,NA,A210,837,0.018262%
F206,NA,F206,831,0.018131%
A320,NA,A320,823,0.017956%
1784,NA,1784,823,0.017956%
H0256,NA,H0256,822,0.017935%
H0160,NA,H0160,814,0.017760%
XX9HW,NA,XX9HW,811,0.017695%
H0262,NA,H0262,805,0.017564%
H0608,NA,H0608,800,0.017455%
RS110,NA,RS110,799,0.017433%
H0006,NA,H0006,785,0.017127%
F320,NA,F320,779,0.016996%
RS142,NA,RS142,775,0.016909%
2857,NA,2857,768,0.016756%
K260,NA,K260,763,0.016647%
A120,NA,A120,758,0.016538%
N3394,NA,N3394,756,0.016495%
F422,NA,F422,740,0.016145%
RP120,NA,RP120,738,0.016102%
H1104,NA,H1104,729,0.015905%
H2101,NA,H2101,726,0.015840%
6052,NA,6052,715,0.015600%
H0044,NA,H0044,707,0.015425%
K322,NA,K322,706,0.015404%
H0343,NA,H0343,694,0.015142%
K420,NA,K420,667,0.014553%
RP212,NA,RP212,664,0.014487%
S3001,NA,S3001,664,0.014487%
H1203,NA,H1203,662,0.014444%
RP214,NA,RP214,662,0.014444%
H0435,NA,H0435,660,0.014400%
RP130,NA,RP130,655,0.014291%
H0103,NA,H0103,650,0.014182%
H0161,NA,H0161,642,0.014007%
H0285,NA,H0285,640,0.013964%
RP230,NA,RP230,631,0.013767%
F307,NA,F307,631,0.013767%
A110,NA,A110,610,0.013309%
H0151,NA,H0151,604,0.013178%
H0187,NA,H0187,604,0.013178%
F882,NA,F882,599,0.013069%
RP110,NA,RP110,596,0.013004%
H0133,NA,H0133,593,0.012938%
H0158,NA,H0158,584,0.012742%
H0005,NA,H0005,580,0.012655%
F240,NA,F240,580,0.012655%
F132,NA,F132,576,0.012567%
NULL,NA,NULL,574,0.012524%
F845,NA,F845,574,0.012524%
H0636,NA,H0636,562,0.012262%
1287,NA,1287,561,0.012240%
4921,NA,4921,557,0.012153%
H0225,NA,H0225,554,0.012087%
F242,NA,F242,544,0.011869%
RP124,NA,RP124,535,0.011673%
A230,NA,A230,519,0.011324%
RP232,NA,RP232,517,0.011280%
H0084,NA,H0084,516,0.011258%
K290,NA,K290,506,0.011040%
S3000,NA,S3000,505,0.011018%
H0031,NA,H0031,500,0.010909%
H0520,NA,H0520,496,0.010822%
F726,NA,F726,495,0.010800%
H0934,NA,H0934,492,0.010735%
F887,NA,F887,489,0.010669%
H0149,NA,H0149,484,0.010560%
F742,NA,F742,483,0.010538%
H0255,NA,H0255,481,0.010495%
2065,NA,2065,477,0.010407%
A211,NA,A211,476,0.010385%
F292,NA,F292,475,0.010364%
K112,NA,K112,468,0.010211%
H0205,NA,H0205,467,0.010189%
K210,NA,K210,456,0.009949%
3388,NA,3388,450,0.009818%
H0257,NA,H0257,446,0.009731%
RP310,NA,RP310,445,0.009709%
F308,NA,F308,444,0.009687%
H0421,NA,H0421,441,0.009622%
H0604,NA,H0604,441,0.009622%
K530,NA,K530,440,0.009600%
H0122,NA,H0122,439,0.009578%
F841,NA,F841,424,0.009251%
F139,NA,F139,423,0.009229%
H2026,NA,H2026,423,0.009229%
RP140,NA,RP140,421,0.009185%
B706,NA,B706,419,0.009142%
K321,NA,K321,415,0.009055%
H0618,NA,H0618,407,0.008880%
H0962,NA,H0962,407,0.008880%
H0961,NA,H0961,405,0.008836%
H0461,NA,H0461,401,0.008749%
H0466,NA,H0466,398,0.008684%
H0640,NA,H0640,392,0.008553%
H0477,NA,H0477,391,0.008531%
H0966,NA,H0966,391,0.008531%
6290,NA,6290,391,0.008531%
4475,NA,4475,384,0.008378%
A221,NA,A221,382,0.008335%
F622,NA,F622,374,0.008160%
RS223,NA,RS223,373,0.008138%
F980,NA,F980,372,0.008116%
H0931,NA,H0931,369,0.008051%
H0207,NA,H0207,364,0.007942%
K312,NA,K312,364,0.007942%
H0973,NA,H0973,363,0.007920%
2028,NA,2028,361,0.007876%
H0557,NA,H0557,359,0.007833%
6014,NA,6014,359,0.007833%
N1287,NA,N1287,358,0.007811%
RP190,NA,RP190,355,0.007745%
K313,NA,K313,351,0.007658%
H0727,NA,H0727,350,0.007636%
H0495,NA,H0495,346,0.007549%
RS320,NA,RS320,346,0.007549%
F959,NA,F959,343,0.007484%
H0155,NA,H0155,340,0.007418%
H0321,NA,H0321,331,0.007222%
A130,NA,A130,329,0.007178%
K113,NA,K113,327,0.007135%
H0510,NA,H0510,326,0.007113%
H0056,NA,H0056,325,0.007091%
H0083,NA,H0083,324,0.007069%
H0378,NA,H0378,323,0.007047%
RP220,NA,RP220,323,0.007047%
K240,NA,K240,310,0.006764%
A450,NA,A450,309,0.006742%
RP233,NA,RP233,309,0.006742%
F741,NA,F741,303,0.006611%
RS210,NA,RS210,302,0.006589%
H0186,NA,H0186,301,0.006567%
A452,NA,A452,296,0.006458%
H0444,NA,H0444,296,0.006458%
H0729,NA,H0729,296,0.006458%
N4921,NA,N4921,296,0.006458%
RS310,NA,RS310,292,0.006371%
H0197,NA,H0197,291,0.006349%
JF4LD,NA,JF4LD,291,0.006349%
H0067,NA,H0067,289,0.006305%
F330,NA,F330,288,0.006284%
H1107,NA,H1107,286,0.006240%
RS123,NA,RS123,286,0.006240%
RP213,NA,RP213,284,0.006196%
A231,NA,A231,283,0.006175%
K222,NA,K222,283,0.006175%
F730,NA,F730,282,0.006153%
K422,NA,K422,277,0.006044%
A123,NA,A123,276,0.006022%
H0264,NA,H0264,273,0.005956%
H0947,NA,H0947,273,0.005956%
H0007,NA,H0007,268,0.005847%
H0726,NA,H0726,267,0.005825%
H0319,NA,H0319,264,0.005760%
6046,NA,6046,264,0.005760%
H0355,NA,H0355,261,0.005695%
S2800,NA,S2800,260,0.005673%
N3388,NA,N3388,260,0.005673%
H0012,NA,H0012,259,0.005651%
F208,NA,F208,258,0.005629%
H0274,NA,H0274,257,0.005607%
H0376,NA,H0376,257,0.005607%
3914,NA,3914,255,0.005564%
H0127,NA,H0127,254,0.005542%
RP320,NA,RP320,245,0.005345%
K323,NA,K323,241,0.005258%
10020,NA,10020,240,0.005236%
F690,NA,F690,239,0.005215%
A550,NA,A550,238,0.005193%
K310,NA,K310,237,0.005171%
H0481,NA,H0481,236,0.005149%
H0731,NA,H0731,236,0.005149%
H0269,NA,H0269,235,0.005127%
H0236,NA,H0236,234,0.005105%
H0206,NA,H0206,233,0.005084%
3600,NA,3600,231,0.005040%
RS150,NA,RS150,230,0.005018%
K410,NA,K410,229,0.004996%
H0020,NA,H0020,226,0.004931%
6017,NA,6017,225,0.004909%
H0474,NA,H0474,224,0.004887%
N4901,NA,N4901,224,0.004887%
H0132,NA,H0132,223,0.004865%
H0524,NA,H0524,221,0.004822%
H0723,NA,H0723,220,0.004800%
H0273,NA,H0273,219,0.004778%
RP1,NA,RP1,219,0.004778%
H0226,NA,H0226,209,0.004560%
H0353,NA,H0353,209,0.004560%
K3,NA,K3,206,0.004495%
4926,NA,4926,206,0.004495%
F434,NA,F434,206,0.004495%
F785,NA,F785,204,0.004451%
H0234,NA,H0234,203,0.004429%
H0933,NA,H0933,203,0.004429%
K411,NA,K411,201,0.004385%
H0196,NA,H0196,199,0.004342%
H0377,NA,H0377,199,0.004342%
K421,NA,K421,199,0.004342%
2680,NA,2680,199,0.004342%
H0334,NA,H0334,196,0.004276%
H0372,NA,H0372,194,0.004233%
K311,NA,K311,194,0.004233%
H0946,NA,H0946,191,0.004167%
H0521,NA,H0521,190,0.004145%
H0637,NA,H0637,186,0.004058%
F400,NA,F400,185,0.004036%
A510,NA,A510,180,0.003927%
F319,NA,F319,180,0.003927%
A240,NA,A240,179,0.003905%
H1101,NA,H1101,177,0.003862%
H0268,NA,H0268,175,0.003818%
RP126,NA,RP126,174,0.003796%
RS340,NA,RS340,174,0.003796%
F254,NA,F254,173,0.003775%
H0111,NA,H0111,172,0.003753%
F238,NA,F238,171,0.003731%
H0045,NA,H0045,169,0.003687%
4971,NA,4971,165,0.003600%
H0564,NA,H0564,163,0.003556%
K111,NA,K111,163,0.003556%
HA1EA,NA,HA1EA,163,0.003556%
K221,NA,K221,161,0.003513%
N1784,NA,N1784,161,0.003513%
F304,NA,F304,160,0.003491%
F936,NA,F936,160,0.003491%
H0335,NA,H0335,159,0.003469%
H2105,NA,H2105,158,0.003447%
F266,NA,F266,157,0.003425%
H0200,NA,H0200,155,0.003382%
RS140,NA,RS140,155,0.003382%
RS216,NA,RS216,154,0.003360%
N4133,NA,N4133,154,0.003360%
4907,NA,4907,153,0.003338%
H0169,NA,H0169,152,0.003316%
H0483,NA,H0483,152,0.003316%
10010,NA,10010,152,0.003316%
RP121,NA,RP121,150,0.003273%
RP330,NA,RP330,149,0.003251%
A222,NA,A222,148,0.003229%
H0330,NA,H0330,148,0.003229%
F883,NA,F883,148,0.003229%
H0123,NA,H0123,146,0.003185%
H1202,NA,H1202,145,0.003164%
K223,NA,K223,145,0.003164%
H5010,NA,H5010,144,0.003142%
3542,NA,3542,143,0.003120%
A232,NA,A232,142,0.003098%
H0374,NA,H0374,142,0.003098%
H0184,NA,H0184,140,0.003055%
H0272,NA,H0272,140,0.003055%
H0208,NA,H0208,139,0.003033%
H0611,NA,H0611,139,0.003033%
H2100,NA,H2100,139,0.003033%
F782,NA,F782,138,0.003011%
H0267,NA,H0267,136,0.002967%
EB1TA,NA,EB1TA,136,0.002967%
F700,NA,F700,135,0.002945%
H0034,NA,H0034,134,0.002924%
H0638,NA,H0638,133,0.002902%
F267,NA,F267,133,0.002902%
F729,NA,F729,133,0.002902%
H0517,NA,H0517,132,0.002880%
H0720,NA,H0720,132,0.002880%
H0375,NA,H0375,128,0.002793%
H0354,NA,H0354,127,0.002771%
H0605,NA,H0605,126,0.002749%
RS141,NA,RS141,126,0.002749%
F951,NA,F951,126,0.002749%
1690,NA,1690,124,0.002705%
2064,NA,2064,123,0.002684%
A430,NA,A430,121,0.002640%
H0035,NA,H0035,121,0.002640%
K430,NA,K430,121,0.002640%
6281P,NA,6281P,121,0.002640%
N3393,NA,N3393,121,0.002640%
H0135,NA,H0135,120,0.002618%
K520,NA,K520,120,0.002618%
H0085,NA,H0085,119,0.002596%
6006,NA,6006,119,0.002596%
1195,NA,1195,118,0.002575%
H5007,NA,H5007,115,0.002509%
F788,NA,F788,114,0.002487%
F954,NA,F954,113,0.002465%
N4924,NA,N4924,113,0.002465%
RS225,NA,RS225,112,0.002444%
4968,NA,4968,112,0.002444%
N1304,NA,N1304,112,0.002444%
AA43A,NA,AA43A,111,0.002422%
6292,NA,6292,110,0.002400%
K120,NA,K120,107,0.002335%
A410,NA,A410,106,0.002313%
H0156,NA,H0156,105,0.002291%
H0981,NA,H0981,105,0.002291%
H1302,NA,H1302,105,0.002291%
K324,NA,K324,104,0.002269%
H1105,NA,H1105,103,0.002247%
4924,NA,4924,102,0.002225%
F325,NA,F325,101,0.002204%
K4,NA,K4,99,0.002160%
F786,NA,F786,99,0.002160%
F210,NA,F210,98,0.002138%
H0308,NA,H0308,97,0.002116%
RS312,NA,RS312,97,0.002116%
H0629,NA,H0629,96,0.002095%
F935,NA,F935,96,0.002095%
RS228,NA,RS228,94,0.002051%
1302P,NA,1302P,94,0.002051%
F668,NA,F668,92,0.002007%
H2045,NA,H2045,90,0.001964%
6283,NA,6283,90,0.001964%
A212,NA,A212,88,0.001920%
H1204,NA,H1204,88,0.001920%
N1289,NA,N1289,88,0.001920%
N1296,NA,N1296,87,0.001898%
H0038,NA,H0038,86,0.001876%
H0558,NA,H0558,86,0.001876%
H1103,NA,H1103,85,0.001855%
6281,NA,6281,85,0.001855%
N3396,NA,N3396,85,0.001855%
F233,NA,F233,84,0.001833%
F288,NA,F288,83,0.001811%
F900,NA,F900,82,0.001789%
H0082,NA,H0082,81,0.001767%
H0367,NA,H0367,81,0.001767%
H0469,NA,H0469,81,0.001767%
F425,NA,F425,81,0.001767%
H0105,NA,H0105,80,0.001745%
H0457,NA,H0457,80,0.001745%
4901,NA,4901,80,0.001745%
H0331,NA,H0331,79,0.001724%
H0627,NA,H0627,79,0.001724%
H0368,NA,H0368,78,0.001702%
RP430,NA,RP430,78,0.001702%
F711,NA,F711,78,0.001702%
K122,NA,K122,76,0.001658%
1303,NA,1303,76,0.001658%
4AA12,NA,4AA12,75,0.001636%
4906,NA,4906,75,0.001636%
H0332,NA,H0332,74,0.001615%
H2028,NA,H2028,74,0.001615%
RP216,NA,RP216,73,0.001593%
H0420,NA,H0420,71,0.001549%
F355,NA,F355,71,0.001549%
F766,NA,F766,71,0.001549%
H0242,NA,H0242,70,0.001527%
H0980,NA,H0980,70,0.001527%
F744,NA,F744,69,0.001505%
N3542,NA,N3542,68,0.001484%
H0201,NA,H0201,67,0.001462%
H1301,NA,H1301,67,0.001462%
H0018,NA,H0018,66,0.001440%
H0033,NA,H0033,66,0.001440%
H2027,NA,H2027,66,0.001440%
F974,NA,F974,66,0.001440%
H0230,NA,H0230,65,0.001418%
RS212,NA,RS212,65,0.001418%
H1303,NA,H1303,64,0.001396%
RS290,NA,RS290,64,0.001396%
1784V,NA,1784V,64,0.001396%
RS331,NA,RS331,63,0.001375%
F905,NA,F905,63,0.001375%
H0254,NA,H0254,62,0.001353%
4970,NA,4970,62,0.001353%
N1305,NA,N1305,61,0.001331%
H0182,NA,H0182,60,0.001309%
H2047,NA,H2047,59,0.001287%
1310,NA,1310,59,0.001287%
F406,NA,F406,59,0.001287%
A542,NA,A542,58,0.001265%
HO451,NA,HO451,58,0.001265%
1298,NA,1298,58,0.001265%
6288,NA,6288,58,0.001265%
6920,NA,6920,58,0.001265%
H0124,NA,H0124,57,0.001244%
2029,NA,2029,57,0.001244%
1613,NA,1613,56,0.001222%
2672,NA,2672,56,0.001222%
A321,NA,A321,55,0.001200%
H0232,NA,H0232,55,0.001200%
H0180,NA,H0180,54,0.001178%
F407,NA,F407,54,0.001178%
F424,NA,F424,54,0.001178%
N1295,NA,N1295,54,0.001178%
A420,NA,A420,53,0.001156%
H0406,NA,H0406,53,0.001156%
RP710,NA,RP710,53,0.001156%
F402,NA,F402,53,0.001156%
H0361,NA,H0361,52,0.001135%
H0570,NA,H0570,52,0.001135%
